"Date","Price","Open","High","Low","Vol.","Change %"
"Jul 11, 2010","262.22","260.62","264.80","257.99","-","0.61%"
"Jul 04, 2010","260.62","254.77","261.47","253.48","-","2.41%"
"Jun 27, 2010","254.48","265.61","265.61","253.76","-","-4.19%"
"Jun 20, 2010","265.61","262.93","267.02","259.29","-","1.02%"
"Jun 13, 2010","262.93","255.92","265.08","255.92","-","2.74%"
"Jun 06, 2010","255.92","248.94","256.70","247.62","-","2.80%"
"May 30, 2010","248.94","254.80","256.71","248.65","-","-2.30%"
"May 23, 2010","254.80","251.42","258.56","247.25","-","1.34%"
"May 16, 2010","251.42","258.55","258.75","247.49","-","-2.76%"
"May 09, 2010","258.55","261.32","267.58","258.28","-","-1.06%"
"May 02, 2010","261.32","277.71","278.88","259.08","-","-5.90%"
"Apr 25, 2010","277.71","279.05","280.20","272.90","-","-0.48%"
"Apr 18, 2010","279.05","276.29","279.38","272.68","-","1.00%"
"Apr 11, 2010","276.29","276.13","280.83","274.14","-","0.06%"
"Apr 04, 2010","276.13","276.43","280.31","274.81","-","-0.11%"
"Mar 28, 2010","276.43","267.32","276.65","267.32","-","3.41%"
"Mar 21, 2010","267.32","272.62","273.13","266.64","-","-1.94%"
"Mar 14, 2010","272.62","273.31","276.56","269.84","-","-0.25%"
"Mar 07, 2010","273.31","276.93","277.69","272.13","-","-1.31%"
"Feb 28, 2010","276.93","272.72","278.04","272.72","-","0.78%"
"Feb 21, 2010","274.78","277.80","278.29","270.87","-","-1.09%"
"Feb 14, 2010","277.80","270.31","277.93","270.31","-","3.69%"
"Feb 07, 2010","267.92","258.55","269.79","258.55","-","3.62%"
"Jan 31, 2010","258.55","265.59","273.48","256.89","-","-2.65%"
"Jan 24, 2010","265.59","275.56","277.09","265.42","-","-3.62%"
"Jan 17, 2010","275.56","281.84","283.77","275.08","-","-2.08%"
"Jan 10, 2010","281.41","290.77","293.03","281.12","-","-3.22%"
"Jan 03, 2010","290.77","289.34","293.78","288.90","-","2.61%"
