Date,CloseIBOV,CloseDJI,Price,ICB,CarWash
2011-07-21,60263.0,12724.410156,1.5527,18142.92107961914,0
2011-07-22,60270.0,12681.160156,1.5522,18240.447146083203,0
2011-07-25,59971.0,12592.799805,1.5402,18185.641038233174,0
2011-07-26,59340.0,12501.299805,1.5383,18218.150184655413,0
2011-07-27,58288.0,12302.549805,1.5553,18271.65086417778,0
2011-07-28,58708.0,12240.110352,1.567,18267.06605596865,0
2011-07-29,58823.0,12143.240234,1.549,18164.01687004581,0
2011-08-01,58536.0,12132.490234,1.5666,18205.195698106796,0
2011-08-02,57311.0,11866.620117,1.566,18341.9243970038,0
2011-08-03,56017.0,11896.44043,1.5621,18203.120122417655,0
2011-08-04,52811.0,11383.679688,1.5873,18017.78039484877,0
2011-08-05,52949.0,11444.610352,1.5759,18183.150030847944,0
2011-08-08,48668.0,10809.849609,1.6265,18028.696487469126,0
2011-08-09,51151.0,11239.769531,1.5894,18177.197265383915,0
2011-08-10,51395.0,10719.94043,1.6235,18113.44879769927,0
2011-08-11,53343.0,11143.30957,1.6272,18339.603749900907,0
2011-08-12,53473.0,11269.019531,1.611,18319.255883237118,0
2011-08-15,54652.0,11482.900391,1.5882,18322.48503274047,0
2011-08-16,54324.0,11405.929688,1.5899,18489.730788751003,0
2011-08-17,55073.0,11410.209961,1.5888,18922.66091578723,0
2011-08-18,53134.0,10990.580078,1.5989,19015.975703121374,0
2011-08-19,52448.0,10817.650391,1.5998,19149.958001695002,0
2011-08-22,52440.0,10854.650391,1.6073,19262.28118756576,0
2011-08-23,53787.0,11176.759766,1.5968,19383.88320398232,0
2011-08-24,53796.0,11320.709961,1.6137,19440.04908792253,0
2011-08-25,52953.0,11149.820313,1.6096,19504.02395651047,0
2011-08-26,53351.0,11284.540039,1.6031,19620.70570013756,0
2011-08-29,54861.0,11539.25,1.5912,19694.392677670065,0
2011-08-30,55385.0,11559.950195,1.5963,19894.93180623521,0
2011-08-31,56495.0,11613.530273,1.5892,19845.80658749039,0
2011-09-01,58118.0,11493.570313,1.62,21638.44693936198,0
2011-09-02,56532.0,11240.259766,1.6415,21804.590908507937,0
2011-09-06,56607.0,11139.299805,1.6553,21677.57619647011,0
2011-09-08,57624.0,11295.80957,1.6595,21777.302699912423,0
2011-09-09,55778.0,10992.129883,1.6729,21437.0282473541,0
